feature,family,pre_huber_location,post_huber_location,robust_effect_post_minus_pre,unweighted_hedges_g,direction_matches_unweighted,translation_removed_robust_effect,translation_removed_direction_consistent,pre_effective_n,post_effective_n,minimum_effective_fraction,loo_direction_stability,permutation_p_value,q_value,ranking_score
syntax_dependency_distance_max,dependency_syntax,90.8,73.89371249994568,-0.5327607950119575,-0.24207051962534573,True,-0.34106740371464783,True,10.0,9.234841716284949,0.9234841716284949,1.0,0.52249550089982,0.8803953495015282,0.491996161457756
upos_num_ratio,universal_pos,0.031439149447835005,0.03547336544557253,0.5158240373945212,0.24943223799387879,True,0.495635305452924,True,9.467461156095453,9.664291823654445,0.9467461156095454,1.0,0.3153369326134773,0.7775232832221434,0.4883544037412958
discourse_hedge_markers_per_10k_cjk,discourse_and_stance,9.92736380225999,15.943015886661524,0.49530441591705326,0.37472292781369837,True,0.38454177386400573,True,9.784814341645532,10.0,0.9784814341645532,1.0,0.3187362527494501,0.7775232832221434,0.48464617523455467
syntax_mean_sentence_tokens,dependency_syntax,34.651718759941126,30.255906611655757,-0.48375434353466473,-0.4830520345831934,True,-0.34851735204859396,True,9.999979664715399,10.0,0.9999979664715399,1.0,0.3089382123575285,0.7771726904619076,0.48375335980643946
deprel_discourse_ratio,dependency_relation,0.002728998233932821,0.0016952143269951191,-0.520900411595789,-0.3065795239838148,True,-0.9827224627847508,True,9.450334344157756,9.240440804892,0.9240440804892,1.0,0.6740651869626075,0.8947234553089383,0.4813349418594767
deprel_amod_ratio,dependency_relation,0.02138399909247747,0.025473771030325894,0.46499166432062816,0.5555513465066844,True,0.6925091410468677,True,10.0,10.0,1.0,1.0,0.2991401719656069,0.764469328356551,0.46499166432062816
surface_list_item_ratio,document_structure,0.0029146511625536423,0.011529735442896386,0.6134586580069387,0.4944606205608258,True,1.1114487734957905,True,9.349808518456122,7.579053586124077,0.7579053586124077,1.0,0.4305138972205559,0.8786310153699598,0.46494360419063524
syntax_median_sentence_tokens,dependency_syntax,28.473899999949378,25.616491666676858,-0.4670087838709317,-0.5185126186846444,True,-0.3517216376466968,True,9.872670112184128,9.999734406400396,0.9872670112184128,1.0,0.35792841431713657,0.847448157427338,0.4610623662650004
syntax_passive_relation_ratio,dependency_syntax,0.0013688305234920081,0.00234472627119421,0.46540383198937674,0.46013931154956395,True,0.509079298955442,True,9.8315322379051,9.774359180391192,0.9774359180391192,1.0,0.5068986202759448,0.8803953495015282,0.45490242177946044
deprel_ccomp_ratio,dependency_relation,0.023580295799245803,0.02171157400433016,-0.48794219941423167,-0.3768275880656816,True,-0.68505818697103,True,9.410827819120447,9.229780611037,0.9229780611037001,1.0,0.393121375724855,0.8786310153699598,0.4503599451460225
surface_exact_paragraph_repeat_ratio,repetition_and_regularity,0.017294603164888317,0.04230897558501541,0.540583720736882,0.1470794275216986,True,0.10516015013957423,True,8.255776194750245,9.865162117257256,0.8255776194750245,1.0,0.6786642671465707,0.8947234553089383,0.44629382129290646
discourse_framing_markers_per_10k_cjk,discourse_and_stance,6.654103274855442,2.896508370561643,-0.4815174380937649,-0.14986170563680296,True,-0.5754927932007597,True,10.0,8.895266914543058,0.8895266914543057,1.0,0.5844831033793242,0.88487162380608,0.42832261358510015
deprel_nummod_ratio,dependency_relation,0.028474357628916314,0.0318048958798576,0.43582466869288133,0.13275991884098978,True,0.2357360886499936,True,9.732146691992583,9.843984723282457,0.9732146691992583,1.0,0.3633273345330934,0.847763780577218,0.4241509607708188
graph_unsupported_explicit_edge_ratio,discourse_graph,0.16508484845827673,0.2649029371532775,0.5015270492986478,0.022246405482088248,True,0.3658115906382093,True,8.837222670278122,9.736563135119669,0.8837222670278122,0.95,0.531493701259748,0.8803953495015282,0.4210500899328718
surface_mean_sentences_per_paragraph,document_structure,1.741305718983024,1.5953312073236652,-0.4347481702485106,-0.40789141257898087,True,-0.9393411570495048,True,9.404855084924309,9.95785580606284,0.9404855084924308,1.0,0.374125174965007,0.8604879024195161,0.40887435396232436
upos_cconj_ratio,universal_pos,0.014073216386233146,0.011849907203068761,-0.4176970850701141,-0.10134060965843747,True,-0.23236002763156738,True,9.978991526728537,9.63916935400447,0.9639169354004469,1.0,0.4179164167166567,0.8786310153699598,0.4026252941664841
graph_ungrounded_abstract_shell_ratio,discourse_graph,0.006215963701141495,0.015867602412750273,0.42367955460397466,0.23978504075771231,True,0.35936247790648995,True,9.464209680856484,9.648226974696263,0.9464209680856485,1.0,0.5358928214357128,0.8803953495015282,0.40097921422639005
